uuid,name,description,class,datatype,shortname,synonym.1,synonym.2,synonym.3,answer.1,reference-term-source,reference-term-code,reference-term-relationship
,"Pervasive developmental disorder, unspecified",,Diagnosis,N/A,"Pervasive developmental disorder, unspecified",,,,,ICD 10 - WHO,F84.9,SAME-AS
,Other disorders of psychological development,,Diagnosis,N/A,Other disorders of psychological development,,,,,ICD 10 - WHO,F88,SAME-AS
,Unspecified disorder of psychological development,,Diagnosis,N/A,Unspecified disorder of psychological development,,,,,ICD 10 - WHO,F89,SAME-AS
,Hyperkinetic disorders,,Diagnosis,N/A,Hyperkinetic disorders,,,,,ICD 10 - WHO,F90,SAME-AS
,Disturbance of activity and attention,,Diagnosis,N/A,Disturbance of activity and attention,,,,,ICD 10 - WHO,F90.0,SAME-AS
,Hyperkinetic conduct disorde,,Diagnosis,N/A,Hyperkinetic conduct disorde,,,,,ICD 10 - WHO,F90.1,SAME-AS
,Other hyperkinetic disorders,,Diagnosis,N/A,Other hyperkinetic disorders,,,,,ICD 10 - WHO,F90.8,SAME-AS
,"Hyperkinetic disorder, unspecified",,Diagnosis,N/A,"Hyperkinetic disorder, unspecified",,,,,ICD 10 - WHO,F90.9,SAME-AS
,Conduct disorders,,Diagnosis,N/A,Conduct disorders,,,,,ICD 10 - WHO,F91,SAME-AS
,Conduct disorder confined to the family context,,Diagnosis,N/A,Conduct disorder confined to the family context,,,,,ICD 10 - WHO,F91.0,SAME-AS
,Unsocialized conduct disorder,,Diagnosis,N/A,Unsocialized conduct disorder,,,,,ICD 10 - WHO,F91.1,SAME-AS
,Socialized conduct disorder,,Diagnosis,N/A,Socialized conduct disorder,,,,,ICD 10 - WHO,F91.2,SAME-AS
,Oppositional defiant disorder,,Diagnosis,N/A,Oppositional defiant disorder,,,,,ICD 10 - WHO,F91.3,SAME-AS
,Other conduct disorders,,Diagnosis,N/A,Other conduct disorders,,,,,ICD 10 - WHO,F91.8,SAME-AS
,"Conduct disorder, unspecified",,Diagnosis,N/A,"Conduct disorder, unspecified",,,,,ICD 10 - WHO,F91.9,SAME-AS
,Mixed disorders of conduct and emotions,,Diagnosis,N/A,Mixed disorders of conduct and emotions,,,,,ICD 10 - WHO,F92,SAME-AS
,Depressive conduct disorder,,Diagnosis,N/A,Depressive conduct disorder,,,,,ICD 10 - WHO,F92.0,SAME-AS
,Other mixed disorders of conduct and emotions,,Diagnosis,N/A,Other mixed disorders of conduct and emotions,,,,,ICD 10 - WHO,F92.8,SAME-AS
,"Mixed disorder of conduct and emotions, unspecified",,Diagnosis,N/A,"Mixed disorder of conduct and emotions, unspecified",,,,,ICD 10 - WHO,F92.9,SAME-AS
,Emotional disorders with onset specific to childhood,,Diagnosis,N/A,Emotional disorders with onset specific to childhood,,,,,ICD 10 - WHO,F93,SAME-AS
,Separation anxiety disorder of childhood,,Diagnosis,N/A,Separation anxiety disorder of childhood,,,,,ICD 10 - WHO,F93.0,SAME-AS
,Phobic anxiety disorder of childhood,,Diagnosis,N/A,Phobic anxiety disorder of childhood,,,,,ICD 10 - WHO,F93.1,SAME-AS
,Social anxiety disorder of childhood,,Diagnosis,N/A,Social anxiety disorder of childhood,,,,,ICD 10 - WHO,F93.2,SAME-AS
,Sibling rivalry disorder,,Diagnosis,N/A,Sibling rivalry disorder,,,,,ICD 10 - WHO,F93.3,SAME-AS
,Other childhood emotional disorders,,Diagnosis,N/A,Other childhood emotional disorders,,,,,ICD 10 - WHO,F93.8,SAME-AS
,"Childhood emotional disorder, unspecified",,Diagnosis,N/A,"Childhood emotional disorder, unspecified",,,,,ICD 10 - WHO,F93.9,SAME-AS
,Disorders of social functioning with onset specific to childhood and adolescence,,Diagnosis,N/A,Disorders of social functioning with onset specific to childhood and adolescence,,,,,ICD 10 - WHO,F94,SAME-AS
,Elective mutism,,Diagnosis,N/A,Elective mutism,,,,,ICD 10 - WHO,F94.0,SAME-AS
,Reactive attachment disorder of childhood,,Diagnosis,N/A,Reactive attachment disorder of childhood,,,,,ICD 10 - WHO,F94.1,SAME-AS
,Disinhibited attachment disorder of childhood,,Diagnosis,N/A,Disinhibited attachment disorder of childhood,,,,,ICD 10 - WHO,F94.2,SAME-AS
,Other childhood disorders of social functioning,,Diagnosis,N/A,Other childhood disorders of social functioning,,,,,ICD 10 - WHO,F94.8,SAME-AS
,"Childhood disorder of social functioning, unspecified",,Diagnosis,N/A,"Childhood disorder of social functioning, unspecified",,,,,ICD 10 - WHO,F94.9,SAME-AS
,Tic disorders,,Diagnosis,N/A,Tic disorders,,,,,ICD 10 - WHO,F95,SAME-AS
,Transient tic disorder,,Diagnosis,N/A,Transient tic disorder,,,,,ICD 10 - WHO,F95.0,SAME-AS
,Chronic motor or vocal tic disorder,,Diagnosis,N/A,Chronic motor or vocal tic disorder,,,,,ICD 10 - WHO,F95.1,SAME-AS
,Combined vocal and multiple motor tic disorder [de la Tourette],,Diagnosis,N/A,Combined vocal and multiple motor tic disorder [de la Tourette],,,,,ICD 10 - WHO,F95.2,SAME-AS
,Other tic disorders,,Diagnosis,N/A,Other tic disorders,,,,,ICD 10 - WHO,F95.8,SAME-AS
,"Tic disorder, unspecified",,Diagnosis,N/A,"Tic disorder, unspecified",,,,,ICD 10 - WHO,F95.9,SAME-AS
,Other behavioural and emotional disorders with onset usually occurring in childhood and adolescence,,Diagnosis,N/A,Other behavioural and emotional disorders with onset usually occurring in childhood and adolescence,,,,,ICD 10 - WHO,F98,SAME-AS
,Nonorganic enuresis,,Diagnosis,N/A,Nonorganic enuresis,,,,,ICD 10 - WHO,F98.0,SAME-AS
,Nonorganic encopresis,,Diagnosis,N/A,Nonorganic encopresis,,,,,ICD 10 - WHO,F98.1,SAME-AS
,Feeding disorder of infancy and childhood,,Diagnosis,N/A,Feeding disorder of infancy and childhood,,,,,ICD 10 - WHO,F98.2,SAME-AS
,Pica of infancy and childhood,,Diagnosis,N/A,Pica of infancy and childhood,,,,,ICD 10 - WHO,F98.3,SAME-AS
,Stereotyped movement disorders,,Diagnosis,N/A,Stereotyped movement disorders,,,,,ICD 10 - WHO,F98.4,SAME-AS
,Stuttering [stammering],,Diagnosis,N/A,Stuttering [stammering],,,,,ICD 10 - WHO,F98.5,SAME-AS
,Cluttering,,Diagnosis,N/A,Cluttering,,,,,ICD 10 - WHO,F98.6,SAME-AS
,Other specified behavioural and emotional disorders with onset usually occurring in childhood and adolescence,,Diagnosis,N/A,Other specified behavioural and emotional disorders with onset usually occurring in childhood and adolescence,,,,,ICD 10 - WHO,F98.8,SAME-AS
,Unspecified behavioural and emotional disorders with onset usually occurring in childhood and adolescence,,Diagnosis,N/A,Unspecified behavioural and emotional disorders with onset usually occurring in childhood and adolescence,,,,,ICD 10 - WHO,F98.9,SAME-AS
,"Mental disorder, not otherwise specified",,Diagnosis,N/A,"Mental disorder, not otherwise specified",,,,,ICD 10 - WHO,F99,SAME-AS
,Schizophrenia,,Diagnosis,N/A,Schizophrenia,,,,,ICD 10 - WHO,F20,SAME-AS
,Paranoid schizophrenia,,Diagnosis,N/A,Paranoid schizophrenia,,,,,ICD 10 - WHO,F20.0,SAME-AS
,Hebephrenic schizophrenia,,Diagnosis,N/A,Hebephrenic schizophrenia,,,,,ICD 10 - WHO,F20.1,SAME-AS
,Catatonic schizophrenia,,Diagnosis,N/A,Catatonic schizophrenia,,,,,ICD 10 - WHO,F20.2,SAME-AS
,Undifferentiated schizophrenia,,Diagnosis,N/A,Undifferentiated schizophrenia,,,,,ICD 10 - WHO,F20.3,SAME-AS
,Post-schizophrenic depression,,Diagnosis,N/A,Post-schizophrenic depression,,,,,ICD 10 - WHO,F20.4,SAME-AS
,Residual schizophrenia,,Diagnosis,N/A,Residual schizophrenia,,,,,ICD 10 - WHO,F20.5,SAME-AS
,Simple schizophrenia,,Diagnosis,N/A,Simple schizophrenia,,,,,ICD 10 - WHO,F20.6,SAME-AS
,Other schizophrenia,,Diagnosis,N/A,Other schizophrenia,,,,,ICD 10 - WHO,F20.8,SAME-AS
,"Schizophrenia, unspecified",,Diagnosis,N/A,"Schizophrenia, unspecified",,,,,ICD 10 - WHO,F20.9,SAME-AS
,Schizotypal disorder,,Diagnosis,N/A,Schizotypal disorder,,,,,ICD 10 - WHO,F21,SAME-AS
,Persistent delusional disorders,,Diagnosis,N/A,Persistent delusional disorders,,,,,ICD 10 - WHO,F22,SAME-AS
,Delusional disorder,,Diagnosis,N/A,Delusional disorder,,,,,ICD 10 - WHO,F22.0,SAME-AS
,Other persistent delusional disorders,,Diagnosis,N/A,Other persistent delusional disorders,,,,,ICD 10 - WHO,F22.8,SAME-AS
,"Persistent delusional disorder, unspecified",,Diagnosis,N/A,"Persistent delusional disorder, unspecified",,,,,ICD 10 - WHO,F22.9,SAME-AS
,Acute and transient psychotic disorders,,Diagnosis,N/A,Acute and transient psychotic disorders,,,,,ICD 10 - WHO,F23,SAME-AS
,Acute polymorphic psychotic disorder without symptoms of schizophrenia,,Diagnosis,N/A,Acute polymorphic psychotic disorder without symptoms of schizophrenia,,,,,ICD 10 - WHO,F23.0,SAME-AS
,Acute polymorphic psychotic disorder with symptoms of schizophrenia,,Diagnosis,N/A,Acute polymorphic psychotic disorder with symptoms of schizophrenia,,,,,ICD 10 - WHO,F23.1,SAME-AS
,Acute schizophrenia-like psychotic disorder,,Diagnosis,N/A,Acute schizophrenia-like psychotic disorder,,,,,ICD 10 - WHO,F23.2,SAME-AS
,Other acute predominantly delusional psychotic disorders,,Diagnosis,N/A,Other acute predominantly delusional psychotic disorders,,,,,ICD 10 - WHO,F23.3,SAME-AS
,Other acute and transient psychotic disorders,,Diagnosis,N/A,Other acute and transient psychotic disorders,,,,,ICD 10 - WHO,F23.8,SAME-AS
,"Acute and transient psychotic disorder, unspecified",,Diagnosis,N/A,"Acute and transient psychotic disorder, unspecified",,,,,ICD 10 - WHO,F23.9,SAME-AS
,Induced delusional disorder,,Diagnosis,N/A,Induced delusional disorder,,,,,ICD 10 - WHO,F24,SAME-AS
,Schizoaffective disorders,,Diagnosis,N/A,Schizoaffective disorders,,,,,ICD 10 - WHO,F25,SAME-AS
,"Schizoaffective disorder, manic type",,Diagnosis,N/A,"Schizoaffective disorder, manic type",,,,,ICD 10 - WHO,F25.0,SAME-AS
,"Schizoaffective disorder, depressive type",,Diagnosis,N/A,"Schizoaffective disorder, depressive type",,,,,ICD 10 - WHO,F25.1,SAME-AS
,"Schizoaffective disorder, mixed type",,Diagnosis,N/A,"Schizoaffective disorder, mixed type",,,,,ICD 10 - WHO,F25.2,SAME-AS
,Other schizoaffective disorders,,Diagnosis,N/A,Other schizoaffective disorders,,,,,ICD 10 - WHO,F25.8,SAME-AS
,"Schizoaffective disorder, unspecified",,Diagnosis,N/A,"Schizoaffective disorder, unspecified",,,,,ICD 10 - WHO,F25.9,SAME-AS
,Other nonorganic psychotic disorders,,Diagnosis,N/A,Other nonorganic psychotic disorders,,,,,ICD 10 - WHO,F28,SAME-AS
,Feeding disorder of infancy and childhood,,Diagnosis,N/A,Feeding disorder of infancy and childhood,,,,,ICD 10 - WHO,F29,SAME-AS
,Phobic anxiety disorders,,Diagnosis,N/A,Phobic anxiety disorders,,,,,ICD 10 - WHO,F40,SAME-AS
,Agoraphobia,,Diagnosis,N/A,Agoraphobia,,,,,ICD 10 - WHO,F40.0,SAME-AS
,Social phobias,,Diagnosis,N/A,Social phobias,,,,,ICD 10 - WHO,F40.1,SAME-AS
,Specific (isolated) phobias,,Diagnosis,N/A,Specific (isolated) phobias,,,,,ICD 10 - WHO,F40.2,SAME-AS
,Other phobic anxiety disorders,,Diagnosis,N/A,Other phobic anxiety disorders,,,,,ICD 10 - WHO,F40.8,SAME-AS
,"Phobic anxiety disorder, unspecified",,Diagnosis,N/A,"Phobic anxiety disorder, unspecified",,,,,ICD 10 - WHO,F40.9,SAME-AS
,Other anxiety disorders,,Diagnosis,N/A,Other anxiety disorders,,,,,ICD 10 - WHO,F41,SAME-AS
,Panic disorder [episodic paroxysmal anxiety],,Diagnosis,N/A,Panic disorder [episodic paroxysmal anxiety],,,,,ICD 10 - WHO,F41.0,SAME-AS
,Generalized anxiety disorder,,Diagnosis,N/A,Generalized anxiety disorder,,,,,ICD 10 - WHO,F41.1,SAME-AS
,Mixed anxiety and depressive disorder,,Diagnosis,N/A,Mixed anxiety and depressive disorder,,,,,ICD 10 - WHO,F41.2,SAME-AS
,Other mixed anxiety disorders,,Diagnosis,N/A,Other mixed anxiety disorders,,,,,ICD 10 - WHO,F41.3,SAME-AS
,Other specified anxiety disorders,,Diagnosis,N/A,Other specified anxiety disorders,,,,,ICD 10 - WHO,F41.8,SAME-AS
,"Anxiety disorder, unspecified",,Diagnosis,N/A,"Anxiety disorder, unspecified",,,,,ICD 10 - WHO,F41.9,SAME-AS
,Obsessive-compulsive disorder,,Diagnosis,N/A,Obsessive-compulsive disorder,,,,,ICD 10 - WHO,F42,SAME-AS
,Predominantly obsessional thoughts or ruminations,,Diagnosis,N/A,Predominantly obsessional thoughts or ruminations,,,,,ICD 10 - WHO,F42.0,SAME-AS
,Predominantly compulsive acts [obsessional rituals],,Diagnosis,N/A,Predominantly compulsive acts [obsessional rituals],,,,,ICD 10 - WHO,F42.1,SAME-AS
,Mixed obsessional thoughts and acts,,Diagnosis,N/A,Mixed obsessional thoughts and acts,,,,,ICD 10 - WHO,F42.2,SAME-AS
,Other obsessive-compulsive disorders,,Diagnosis,N/A,Other obsessive-compulsive disorders,,,,,ICD 10 - WHO,F42.8,SAME-AS
,"Obsessive-compulsive disorder, unspecified",,Diagnosis,N/A,"Obsessive-compulsive disorder, unspecified",,,,,ICD 10 - WHO,F42.9,SAME-AS
,"Reaction to severe stress, and adjustment disorders",,Diagnosis,N/A,"Reaction to severe stress, and adjustment disorders",,,,,ICD 10 - WHO,F43,SAME-AS
,Acute stress reaction,,Diagnosis,N/A,Acute stress reaction,,,,,ICD 10 - WHO,F43.0,SAME-AS
,Post-traumatic stress disorder,,Diagnosis,N/A,Post-traumatic stress disorder,,,,,ICD 10 - WHO,F43.1,SAME-AS
,Adjustment disorders,,Diagnosis,N/A,Adjustment disorders,,,,,ICD 10 - WHO,F43.2,SAME-AS
,Other reactions to severe stress,,Diagnosis,N/A,Other reactions to severe stress,,,,,ICD 10 - WHO,F43.8,SAME-AS
,"Reaction to severe stress, unspecified",,Diagnosis,N/A,"Reaction to severe stress, unspecified",,,,,ICD 10 - WHO,F43.9,SAME-AS
,Dissociative [conversion] disorders,,Diagnosis,N/A,Dissociative [conversion] disorders,,,,,ICD 10 - WHO,F44,SAME-AS
,Dissociative amnesia,,Diagnosis,N/A,Dissociative amnesia,,,,,ICD 10 - WHO,F44.0,SAME-AS
,Dissociative fugue,,Diagnosis,N/A,Dissociative fugue,,,,,ICD 10 - WHO,F44.1,SAME-AS
,Dissociative stupor,,Diagnosis,N/A,Dissociative stupor,,,,,ICD 10 - WHO,F44.2,SAME-AS
,Trance and possession disorders,,Diagnosis,N/A,Trance and possession disorders,,,,,ICD 10 - WHO,F44.3,SAME-AS
,Dissociative motor disorders,,Diagnosis,N/A,Dissociative motor disorders,,,,,ICD 10 - WHO,F44.4,SAME-AS
,Dissociative convulsions,,Diagnosis,N/A,Dissociative convulsions,,,,,ICD 10 - WHO,F44.5,SAME-AS
,Dissociative anaesthesia and sensory loss,,Diagnosis,N/A,Dissociative anaesthesia and sensory loss,,,,,ICD 10 - WHO,F44.6,SAME-AS
,Mixed dissociative [conversion] disorders,,Diagnosis,N/A,Mixed dissociative [conversion] disorders,,,,,ICD 10 - WHO,F44.7,SAME-AS
,Other dissociative [conversion] disorders,,Diagnosis,N/A,Other dissociative [conversion] disorders,,,,,ICD 10 - WHO,F44.8,SAME-AS
,"Dissociative [conversion] disorder, unspecified",,Diagnosis,N/A,"Dissociative [conversion] disorder, unspecified",,,,,ICD 10 - WHO,F44.9,SAME-AS
,Somatoform disorders,,Diagnosis,N/A,Somatoform disorders,,,,,ICD 10 - WHO,F45,SAME-AS
,Somatization disorder,,Diagnosis,N/A,Somatization disorder,,,,,ICD 10 - WHO,F45.0,SAME-AS
,Undifferentiated somatoform disorder,,Diagnosis,N/A,Undifferentiated somatoform disorder,,,,,ICD 10 - WHO,F45.1,SAME-AS
,Hypochondriacal disorder,,Diagnosis,N/A,Hypochondriacal disorder,,,,,ICD 10 - WHO,F45.2,SAME-AS
,Somatoform autonomic dysfunction,,Diagnosis,N/A,Somatoform autonomic dysfunction,,,,,ICD 10 - WHO,F45.3,SAME-AS
,Persistent somatoform pain disorder,,Diagnosis,N/A,Persistent somatoform pain disorder,,,,,ICD 10 - WHO,F45.4,SAME-AS
,Other somatoform disorders,,Diagnosis,N/A,Other somatoform disorders,,,,,ICD 10 - WHO,F45.8,SAME-AS
,"Somatoform disorder, unspecified",,Diagnosis,N/A,"Somatoform disorder, unspecified",,,,,ICD 10 - WHO,F45.9,SAME-AS
,Other neurotic disorders,,Diagnosis,N/A,Other neurotic disorders,,,,,ICD 10 - WHO,F48,SAME-AS
,Neurasthenia,,Diagnosis,N/A,Neurasthenia,,,,,ICD 10 - WHO,F48.0,SAME-AS
,Depersonalization-derealization syndrome,,Diagnosis,N/A,Depersonalization-derealization syndrome,,,,,ICD 10 - WHO,F48.1,SAME-AS
,Other specified neurotic disorders,,Diagnosis,N/A,Other specified neurotic disorders,,,,,ICD 10 - WHO,F48.8,SAME-AS
,"Neurotic disorder, unspecified",,Diagnosis,N/A,"Neurotic disorder, unspecified",,,,,ICD 10 - WHO,F48.9,SAME-AS
